,title,size,cpu_cores,gpu_cores,ram_memory,price,location,link
0,"2021 MacBook Pro 14"" M1 Pro US English Keyboard",14.0,8,14,16,18 000 kr,Haninge (hitta.se),https://www.blocket.se/annons/stockholm/2021_macbook_pro_14__m1_pro_us_english_keyboard/104375798
1,"Macbook Pro, 16"" 2021 M1 Pro, 32GB, 1TB,  SOM NY",16.0,,,32,29 000 kr,"Vasastan, Norrmalm, Stockholms stad (hitta.se)",https://www.blocket.se/annons/stockholm/macbook_pro__16__2021_m1_pro__32gb__1tb___som_ny/104371491
2,"Brand new MacBook 14"" M1 Pro 512GB 16GB",14.0,,,16,19 400 kr,Umeå (hitta.se),https://www.blocket.se/annons/vasterbotten/brand_new_macbook_14__m1_pro_512gb_16gb/104361325
3,Macbook pro 16 m1 pro,,10,,16,20 000 kr,Linköping (hitta.se),https://www.blocket.se/annons/ostergotland/macbook_pro_16_m1_pro/104331869
4,Macbook pro 14tum 32GB RAM,14.0,,,32,26 000 kr,Kävlinge (hitta.se),https://www.blocket.se/annons/skane/macbook_pro_14tum_32gb_ram/104323052
5,MacBook Pro 16 tum Senaste Modell AppleCare ,16.0,10,,,21 990 kr,Danderyd (hitta.se),https://www.blocket.se/annons/stockholm/macbook_pro_16_tum_senaste_modell_applecare_/104247092
6,Macbook Pro14 M1 Pro - 16GB - 1TB SSD -10 cores - 14 GPU,,10,14,16,23 500 kr,"Centralt Norr, Malmö stad (hitta.se)",https://www.blocket.se/annons/skane/macbook_pro14_m1_pro___16gb___1tb_ssd__10_cores___14_gpu/104168308
7,"MacBook Pro M1 16"" 512 GB",16.0,,,,21 999 kr,"Centralt Norr, Malmö stad (hitta.se)",https://www.blocket.se/annons/skane/macbook_pro_m1_16__512_gb/104061078
8,MacBook Pro 14 M1 pro ,,10,,16,24 995 kr,Halmstad (hitta.se),https://www.blocket.se/annons/halland/macbook_pro_14_m1_pro_/103953082
9,Macbook Pro M1 Pro 16 gb/512 gb,,,,16,20 000 kr,"Västra Göteborg, Göteborgs stad (hitta.se)",https://www.blocket.se/annons/goteborg/macbook_pro_m1_pro_16_gb_512_gb/103639352
